title	originalTitle	sortingTitle	summary	platformList	myRating	criticsScore	developers	genres	publishers	releaseDate	originalReleaseDate	themes	gameMins	lastPlayed	tags	dlcs	isHidden	osCompatibility	backgroundImage	squareIcon	verticalCover
No Straight Roads	No Straight Roads	No Straight Roads	Welcome to Vinyl City! Play with Mayday and Zuke for the Musical Revolution in this action adventure game created by Wan Hazmer, one of the lead game designer of FF XV and Daim Dziauddin, SFV's concept artist.	Epic Games Store		74	Metronomik	"Adventure	Hack and slash/Beat 'em up	Music	Role-playing (RPG)"	"Fireshine Games	H2 Interactive Co., Ltd.	Sold Out"	2020-08-24	2020-08-24	"Action	Fantasy	Open world"			LowPriority		False	Windows	https://images.gog.com/7c42300038c215d58db240fe6258d051318cb739072d23eef6b1d1674b7d49e5_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/bbdea179730cc557417a6b861d837f8f973aee76f9aada919f1a4d353fd75b97_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/2b08825c20aaa8077a2b856956a5a68e697b0e3e96542d088ae693e35063e880_glx_vertical_cover.webp?namespace=gamesdb
Nomads of Driftland: The Forgotten Passage	Nomads of Driftland: The Forgotten Passage	Nomads of Driftland The Forgotten Passage	Not everyone on the planet Driftland is happy with the new order brought by the mages-rulers. Is this nothing more than an attempt to restore the apparent balance that has almost destroyed the entire planet once? Join the brave Nomads and fight for freedom on your own terms.	GOG				"Indie	Real Time Strategy (RTS)"		2020-12-07	2020-12-07	"4X (explore, expand, exploit, and exterminate)	Fantasy	Survival"					False	Windows	https://images.gog.com/5b87c56beab1b912d941b27d3aa94b7b49892801516b63b1550ce976213729b7_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/15d14a709279a9e53bba399ff43ff41e96271f6e6883a1109651fc056e5ae115_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/9d79f8330440af0c987c5cf72e3fee04e31f25c9b8fa44d5d7b4b8f668fcefe9_glx_vertical_cover.webp?namespace=gamesdb
Not The Robots	Not The Robots	Not The Robots	You are a robot in an office building. You have to eat furniture and not get caught. A mysterious story unfolds. Not The Robots is this year’s most exciting Roguelike Stealth Furniture Eating Simulator. It’s a game with random levels, permadeath, and the goal of eating furniture - which is also your stealth cover.	"Humble Bundle	Steam"			2DArray	"Indie	Simulator	Strategy"	tinyBuild	2013-12-12	2013-12-12	"Action	Science fiction	Stealth"	2		LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/f05de24257ac5722f3bea25ad65290525291938600dc5a97b043ed4298c69cc9_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/e25e7bd53f62a86324a54c715421fee2caa0c082e5caddd9c5dce62f8044523d_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/64dd1136a514ff8e17235871f939d63b94dc29e45cbf902a8648a61281d90a1b_glx_vertical_cover.webp?namespace=gamesdb
Nova Islands	Nova Islands	Nova Islands	Nova Lands is a factory building, exploration, and island management game. Explore, engage in combat, and automate your industry. The planet you’re on is full of mysteries, creatures, people, and things to do. Welcome to your new home amongst the stars!	Steam			BEHEMUTT	"Adventure	Indie	Simulator	Strategy"	HypeTrain Digital	2023-06-22	2023-06-22	"Action	Kids	Sandbox	Science fiction	Survival"	1413	2025-04-06 13:39:43			False	Windows	https://images.gog.com/e15cc110558dca060f90006b578f4039f211532eb1232a50b54e20319791e481_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/a1564ca016ec66ab817d82bd5caf04f04e9a9443140215712e0bb346e544daec_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/a2532db9f7589997ec116d6e5c9f90070fdeb54e84e039da232e040dc9b3e37e_glx_vertical_cover.webp?namespace=gamesdb
Oaken	Oaken	Oaken	Oaken is a tactical turn-based roguelike with deck management and 3D figurines. Explore the world of the Great Oak, gather allies and enhancements, learn to use the positioning and rotation for your advantage, choose how to upgrade your cards - all in order to restore the Oak's Song.	GOG		65	Laki Studio	"Adventure	Card & Board Game	Indie	Puzzle	Strategy	Turn-based strategy (TBS)"	Goblinz Publishing	2022-05-03	2022-05-03	Fantasy	3	2025-03-28 14:46:01	Maybe Return		False	"Linux	macOS	Windows"	https://images.gog.com/e8b71c57f681036d180a4b887b99b5f93018b4250df073666d7339e287f97d7a_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/155d0685c9ed94d6f0ac4c6de32cc7d703318ad1f2a81dd1f6b7c895697980fc_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/5fdd844aa0b917affaa0fb4ee30594ed0f45892a79d43667cbecd76407b2828b_glx_vertical_cover.webp?namespace=gamesdb
Obduction	Obduction	Obduction	From Cyan, the indie studio that brought you Myst and Riven comes a whole new adventure that will become your world.\n\nThe new worlds of Obduction reveal their secrets only as you explore, coax, and consider them. And as you bask in the otherworldly beauty and explore through the enigmatic landscapes, remember that the choices you make will have substantial consequences. This is your story now.	Epic Games Store		67	Cyan Worlds	"Adventure	Indie	Point-and-click	Puzzle"	Cyan Worlds	2016-08-24	2016-08-24	"Fantasy	Mystery	Science fiction"			LowPriority		False	"macOS	Windows"	https://images.gog.com/0ae9bcc5e56fbcb9b8aacd93891b596bf7b7ed8bca5872ad77170ade2f3eb412_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/ba51e32d908eb778a0ccba3802555e32acd66706919ecf11ae861d5d940abf8d_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/29470c5777955841afd0a106f498c2b81398201b73ab8818ecf7f3a3101de095_glx_vertical_cover.webp?namespace=gamesdb
>observer_	>observer_	observer	Observer is a first person perspective horror game that focuses on a dark, atmospheric environment and deep story telling.	Epic Games Store		74	Bloober Team	"Adventure	Indie"	Aspyr Media	2017-08-15	2017-08-15	"Horror	Mystery	Science fiction	Thriller"	11		HighPriority		False	"Linux	macOS	Windows"	https://images.gog.com/c334d7b370af75e245b1941920fcdbe710a653004fdf40392757cb63c201dea5_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/c09224e03436efdaf850799ac98b12376d1a791520d0b926cb05de7a7499e578_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/76245dc4fa70286d4eaa348a6cb47644b558be754ff9008168e239965122e9b8_glx_vertical_cover.webp?namespace=gamesdb
Oddworld: New 'n' Tasty	Oddworld: New 'n' Tasty	Oddworld New n Tasty	Explore ancient ruins, dodge carnivorous beasts and avoid trigger-happy hunting parties as Abe, the original Oddworld hero in this lovingly re-crafted take on PlayStation® classic Abe's Oddysee. Once a happy floor waxer in Oddworld's biggest meat processing plant, Abe stumbles across his boss's secret plan to turn the factory's slave labor force into the latest in the RuptureFarms Tasty Treats line of novelty meat snacks. Abe now has to save his own skin from the grinders even if simply escaping the flesh farm is only the start of his Oddysee. Many dangers await Abe on his journey to discover his people's heritage. Built from the ground up, enjoy breathtaking visuals, enhanced audio and improved, deeper gameplay as New 'n' Tasty reignites the original Oddworld game using the latest next-generation technology.	Epic Games Store	3	81	Just Add Water (Development) Ltd	"Adventure	Indie	Platform	Puzzle"	Oddworld Inhabitants	2014-07-22	2014-07-22	"Action	Comedy	Science fiction	Stealth"			LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/7190ebc892e9f20f8d914ed8f0a18610d15cc722f32c4e78717aa820e25a77df_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/bce15ccc269d8f95e2fe0c15f57a91f31bd2af1b4a1f0b1a2e09631d11bbd7c3_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/bce15ccc269d8f95e2fe0c15f57a91f31bd2af1b4a1f0b1a2e09631d11bbd7c3_glx_vertical_cover.webp?namespace=gamesdb
Offworld Trading Company	Offworld Trading Company	Offworld Trading Company	Offworld Trading Company is a real-time strategy game in which money, not firepower, is the player's weapon. Players lead their developing companies in cutthroat economic warfare against other companies looking to become the dominant economic power on Mars.\n\nLoosely inspired by such classics as M.U.L.E., Offworld Trading Company forces players to make tough choices on what resources to acquire, what goods to build and sell, how to interact with the planet's thriving underworld, and when and what stocks to acquire.\n\nPlayers compete against up to seven other AI- or player-controlled companies. The game is won when one player ultimately acquires all the shares of their competitors, thereby wresting control of the entire planet’s economy.	Epic Games Store		89	mohawk games	"Simulator	Strategy"	Stardock	2016-04-28	2016-04-28	Science fiction			LowPriority		False	"macOS	Windows"	https://images.gog.com/618d8e3d510ae9d7d72df7a5eab2798d43bf9fc545982b5054a5ba1d4d56f9ea_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/d5f4557865fbaccd0391ecd5b8ee1d2f33e66e5e09bccd3b2877edc448d8976a_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/f316007caa77d762556eaa0800ff964bf322347146db8582e740cd43a16a8a85_glx_vertical_cover.webp?namespace=gamesdb
Once Upon a Jester	Once Upon a Jester	Once Upon a Jester	Travel the kingdom as Jester with his best friend Sok to improvise theatre shows and perform on stages far and wide. Sing your hearts out, crack jokes and impress audiences to become the stars of the famous Royal Theatrical Spectacle!\n\nThey embark on a grand adventure across a fantasy kingdom, meeting tons of wacky characters, performing improvised shows and singing their hearts out. Along the way, they unintentionally discover the freedom and joy of musical theatre. Will the pair change their wicked ways or do whatever it takes to get rich?	Amazon		85	Bonte Avond	"Adventure	Arcade	Indie	Music	Platform	Puzzle"	Crunching Koalas	2022-11-09	2022-11-09	"Action	Comedy	Drama"			LowPriority		False		https://images.gog.com/c167b9ca8db3e0c244c78f31db444b42d2ee48f288b2580ac43146bc158bf801_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/668b46389ea6edb4ee91e635df1e92d5003b6b8c805f45d651b88a697cf34e34_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/e8ed0b4aab4a112838257349267680bf98a47d2a15050feb40c447aedb4a960a_glx_vertical_cover.webp?namespace=gamesdb
Oozi: Earth Adventure	Oozi: Earth Adventure	Oozi Earth Adventure	Oozi: Earth Adventure is a classic 2D platformer with old school gameplay - no puzzles, no punishment, just 100% pure classic platforming fun! Its most prominent features are HD visuals and beautiful hand-drawn art, but despite its visual style, it’s a good fit for all kinds of gamers. The variety of difficulty levels – from Kid to Hardcore – allows everyone to enjoy the game regardless of their skill level. It tells the story of Oozi - an alien spaceship pilot who crashed on planet Earth, lost his space suit and needs to find his way home.	Steam		70		"Adventure	Indie	Platform"	Awesome Games Studio	2013-11-04	2013-11-04	"Comedy	Stealth"			LowPriority		False	Windows	https://images.gog.com/2000360eb5c4bde82a29cd3d35a09d66ff7858645bc7e9dfc2531bad4ba26ff7_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/03a1eace86d1771c5a526c282778dc32a299e00fdf9cf369a3df641ea94dd2f0_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/405719cc25f8937d1acff7159250f2194651f94cfead55cc8fb3ee1e133811fe_glx_vertical_cover.webp?namespace=gamesdb
Orcs Must Die! 2	Orcs Must Die! 2	Orcs Must Die 2	Orcs Must Die! 2 thrusts players and their friends back into battle against a terrifying mob of orcs and other monsters. With a redesigned spellbook, players will have a broader range of options to build a deadly arsenal of defenses. Investing hard-earned skulls in an enormous new upgrade system will allow players to cater to their favorite methods of burning, grinding, tossing, or dismembering orcs.\n\nOrcs Must Die! 2 begins days after the ending of the original game. With the rifts closed and the magical Order dead, the War Mage finds himself suddenly thrust into a new battle against the mindless orc mob. He has a powerful, if questionable, new companion in the Sorceress, an ex-War Mage responsible for the destruction of the Order.	Steam		82	Robot Entertainment	"Adventure	Indie	Platform	Shooter	Strategy"	Robot Entertainment	2012-07-30	2012-07-30	"Action	Fantasy"	255	2015-12-24 01:45:31	Ended		False	Windows	https://images.gog.com/07f9b492dd80dad7888c7f2b148d867545f6a8e05e2d1671e66f70112e882386_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/d0b359a4ce2b808ed515ea8b467189d8b75698a3b19a4570e632a10c7ae514d3_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/9856ed1ed185e41d1c82477ae32f7202ab1b5d6ce72ebac074f485e6e008eac5_glx_vertical_cover.webp?namespace=gamesdb
Orcs Must Die! 3	Orcs Must Die! 3	Orcs Must Die 3	Orc Must Die! 3 ushers orc-slaying mayhem to a previously unimaginable scale. All new War Scenarios pit players and their friends against the largest orc armies ever assembled. Mountable War Machines give players the essential firepower to heave, stab, carbonize, and disarticulate the abominable intruders. Orcs Must Die! 3 is the long-awaited successor to the award-winning series.	Epic Games Store	4	76	Robot Entertainment	"Adventure	Indie	Puzzle	Shooter	Strategy"	"Robot Entertainment	Stadia Games and Entertainment"	2020-07-14	2020-07-14	"Action	Fantasy"			HighPriority		False	Windows	https://images.gog.com/c9b7feda60ac1110b77c3dfebf45eba55de83e22e0ffc2b3005dfacadba57dc3_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/73fca4c3891a5e93438da0eb88dcebc5eee523734b7ecdc46199a72e6219a2e0_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/c4cffd7457dfb04880af65dc12390d72cdcc31939de139cc25a75e9da78d62f1_glx_vertical_cover.webp?namespace=gamesdb
Orten was the Case	Orten was the Case	Orten was the Case	"Orten Was The Case - A Groundhog day in ""Orten"". Control Ziggy who's stuck in a time loop and uncover millenia-old mysteries in the caves and tunnels deep down below Orten, a suburb to a fictional Swedish metropolis."	Amazon			Woodhill Interactive	"Adventure	Indie	Puzzle"	Woodhill Interactive	2023-11-29	2023-11-29	Action			LowPriority		False		https://images.gog.com/e5511c53c396083d8f41e87a4b302c3c8f1e614b431730de77b1427b2dd0c34d_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/f6c48127979b9bef47c2c7e3f41666c7b714b4bac600d2bdddcfdabf541c45e8_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/7227276fbe2d69e57798cba6a18eb28be6ce6e37ccb37eabd91e295947d772db_glx_vertical_cover.webp?namespace=gamesdb
Orwell	Orwell	Orwell	Using the new governmental security program that has the power to survey the online presence of every person in The Nation, you investigate the lives of citizens to find those responsible for a series of terror attacks. Information from the internet, personal communications and private files are all accessible to you. But, be warned, the information you supply will have consequences…	"Epic Games Store	Humble Bundle"		86	Osmotic Studios	"Adventure	Indie	Simulator	Visual Novel"	Surprise Attack Games	2016-10-27	2016-10-27	"Drama	Mystery	Science fiction	Thriller"			LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/6e307a1620a5c4451304ec084d3fdccdd70cbc02b8ad46cb4af5a13620bb7cf4_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/83c9da7d5378a7e6a764e85faaa2438965c488e8d298acd5f7f22819828883bb_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/276a6e3044f54e710b99483e505ec12506619c84844abe2143fd91eacce8b410_glx_vertical_cover.webp?namespace=gamesdb
Out of Line	Out of Line	Out of Line	A unique adventure game filled with beautiful puzzles all hand-drawn in an original 2D style . Out of Line follows the adventures of San in a quest to escape the Factory that was once home. Dive into a story set in a mysterious world that is revealed through multiple chapters.	Epic Games Store		72	Nerd Monkeys	"Adventure	Indie	Platform	Puzzle"	Hatinh Interactive	2021-06-23	2021-06-23	"Action	Mystery"			LowPriority		False	Windows	https://images.gog.com/21a2cd26d2e2774c89e1bca004118507e4db74b7b233f2ee54b5519c1ed27cd8_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/1c3e23d5c14fee1db39ed3fb4a1f68dadabfa71a83f385b2cfb92b550b4eef8f_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/b0296ada6d7fdc1d1b09a2a215eb4865a077c3aac5ec1e1d4b94482c608c1461_glx_vertical_cover.webp?namespace=gamesdb
Out There - Omega Edition	Out There - Omega Edition	Out There Omega Edition		Epic Games Store		80				2025-06-02	2025-06-02						False	"macOS	Windows"	https://images.gog.com/17295a29c64f379df55f6acd84c5d27ca707b955313d18ceb225c39689d156a2_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/95178608173d5404a7ef696f59c58e6a218b13ae35792538a9cad2b06379f793_glx_square_icon_v2.webp?namespace=gamesdb	
The Outer Worlds: Spacer's Choice Edition	The Outer Worlds: Spacer's Choice Edition	Outer Worlds Spacers Choice Edition	The Outer Worlds: Spacer's Choice Edition is the ultimate way to play the award-winning RPG from Obsidian Entertainment and Private Division. Including the base game and all DLC, this remastered masterpiece is the absolute best version of The Outer Worlds.	Epic Games Store				"Adventure	Role-playing (RPG)	Shooter"		2025-06-02	2025-06-02	Action	109		HighPriority		False	"macOS	Windows"	https://images.gog.com/c97a17e97a6264ac3658a7321c67a17ed941aa2eac209450b13a0ac1f14f248e_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/fc07cdba1efb42a90e2ac7e3bb3b60c1606e5e41f0636cda898987a7d1ee0ed0_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/a2b00e5a570d6c7609c321f1700a9fe1be2a7d7dddb74579c501962c90f2edde_glx_vertical_cover.webp?namespace=gamesdb
Outlast	Outlast	Outlast	Hell is an experiment you can't survive in Outlast, a first-person survival horror game developed by veterans of some of the biggest game franchises in history. As investigative journalist Miles Upshur, explore Mount Massive Asylum and try to survive long enough to discover its terrible secret... if you dare.	Humble Bundle		77	Red Barrels	"Adventure	Indie"	Red Barrels	2013-09-04	2013-09-04	"Action	Horror	Mystery	Stealth	Survival"			LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/e758ca1a118bc929c11c9a34c5f4f3eb820dc8dd7fc2022584db0c99a7c0ab54_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/e834078b69af0432af51f3478d5f8d8a8303826369d1d82f295e519afa3891cf_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/1ab3dc7ef4687a96d92c1851bfeca08fe778f55dfa4b035f4d63e8fcaa540202_glx_vertical_cover.webp?namespace=gamesdb
Outlast: Whistleblower	Outlast: Whistleblower	Outlast Whistleblower	Whistleblower starts the story that led to Outlast, and stretches past the events of the first game to show the true final chapter in the story of Mount Massive Asylum.\nOutlast: Whistleblower follows the story of Waylon Park, the software engineer under contract with the Murkoff Corporation who emails journalists around the world - including Miles Upshur - at the beginning of Outlast.\n\nYou'll meet Waylon a few weeks into his time at Mount Massive, during which he has been unable to even contact his wife and son thanks to strict security protocols. Having developed a deep-seated distrust of the profit-motivated scientists and doctors leading dangerous and irresponsible experiments on their patients, Waylon ends up setting events in motion that lead to the unmasking of Mount Massive's rotten core.	Humble Bundle		80	Red Barrels	"Adventure	Indie"	Red Barrels	2014-05-06	2014-05-06	"Horror	Survival"					False	"Linux	macOS	Windows"	https://images.gog.com/48c858b25cc106e7292b4376c78d9c15a1094681a03145e1d8083544578889ee_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/3d201ae77abc9d898aa37d7dc600053b4d0a5756bcad59f6a0768ece414dd640_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/3d201ae77abc9d898aa37d7dc600053b4d0a5756bcad59f6a0768ece414dd640_glx_vertical_cover.webp?namespace=gamesdb
Outliver: Tribulation	Outliver: Tribulation	Outliver Tribulation	Outliver: Tribulation is an atmospheric, story-driven survival horror action game where you play as Bolanle Gboyega a soldier who mysteriously finds herself in the Realm of Tribulations, a supernatural realm of African mythology where she soon discovers she has to undergo an ancient ritual in order to regain passage back to her realm… or so she thinks.	Epic Games Store			GBROSSOFT	"Adventure	Indie	Shooter"	GBROSSOFT	2023-07-18	2023-07-18	"Action	Horror"			LowPriority		False	Windows	https://images.gog.com/2881d09920792f3f9aff2070ea96589a6d38abc7d90cf097ccee4fc9ff871737_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/df6f34e3368e9bbcd97f203228a9711394849499ca055ea7783c300f93ba17e7_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/4fbe5ecc316020145aa1997a4b126f02ba529b190e85652fd376a48516b76014_glx_vertical_cover.webp?namespace=gamesdb
Over Top	Over Top	Over Top	The ultimate NEOGEO Racing Game! The game features branching paths and a variety of car models for maximum replayability!	Amazon			ADK Corporation	"Arcade	Racing"	"ADK Corporation	SNK"	1996-01-07	1996-01-07				LowPriority		False		https://images.gog.com/de34779fd4279c46fe39cf8f0b43085afdadee49580e76a79d47b981ad4fc200_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/ac42f32a14f7aef12c089dea430fb3cba3dc9c35c7337b9704aa7c8aed4a6ee3_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/8c87b8bda2a4d639c64c20b6a5cad0a78030b7b38a736c373571b5f431d9155a_glx_vertical_cover.webp?namespace=gamesdb
Overcooked! 2	Overcooked! 2	Overcooked 2	Overcooked returns with a brand-new helping of chaotic cooking action! Journey back to the Onion Kingdom and assemble your team of chefs in classic couch co-op or online play for up to four players. Hold onto your aprons… it’s time to save the world again!	Epic Games Store		80	Ghost Town Games	"Arcade	Indie	Simulator	Strategy	Tactical"	Team17	2018-08-07	2018-08-07	"Action	Comedy	Kids	Party"			LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/cd331d90afc3384be0e986976b8e762081f934828191866272d7a80e853dec6f_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/1ca013c6b7d94bccb5739ac1648bdfca7e489467f76e47a2ab1e00c826611268_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/3513fb0bec7c93bfead3977d4d7e8d193f86f6247ce7f20b89a62f59879e51d4_glx_vertical_cover.webp?namespace=gamesdb
Overcooked: Gourmet Edition	Overcooked: Gourmet Edition	Overcooked Gourmet Edition	Overcooked! is a co-op cooking game for 1-4 players. Working as a team, you and your fellow chefs must prepare, cook and serve up a variety of tasty orders before the baying customers storm out. Take part in an epic journey across the Onion Kingdom and tackle an increasingly challenging and bizarre gauntlet of kitchens which will push your skills of co-operation and co-ordination to the very limits.	GOG		82	Ghost Town Games	"Arcade	Indie	Simulator	Strategy"	Team17	2016-08-03	2016-08-03	"Action	Comedy	Kids"			LowPriority		False	Windows	https://images.gog.com/22c16a18a67905b71b0c86d864d70968a8f8f2754ab902b52211491db8c54172_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/65fc76fa247b52e02df95cd2c12556f463fa2854ccbff929b092b753ee17ea15_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/19441380864bec00af6229738cdf68660138e7cb9ab681031978636ee0311b14_glx_vertical_cover.webp?namespace=gamesdb
Overcooked: Gourmet Edition - Amazon Prime	Overcooked: Gourmet Edition - Amazon Prime	Overcooked Gourmet Edition Amazon Prime	"<center><img src=""https://items.gog.com/overcooked/cat-burger.jpg""></center>\n\n\n\nOvercooked is a chaotic couch co-op cooking game for one to four players. Working as a team, you and your fellow chefs must prepare, cook and serve up a variety of tasty orders before the baying customers storm out in a huff. Sharpen your knives and dust off your chef’s whites, there isn’t mushroom for error and the steaks are high in these crazy kitchens!\n\n\n\n\n\nThe Onion Kingdom is in danger and only the finest cooking can save it! In Overcooked players must journey through a variety of cruel and unusual kitchens on their quest to become master chefs capable of conquering an ancient edible evil which plagues the land.\n\n\n\n\n\nPlay solo or engage in classic, chaotic couch co-op for up to four players in both co-operative and competitive challenge modes. You’ll have to cook a range of different dishes and work together in order to become the most effective and ultimate team!\n\n\n\n\n\n<b><u>A CULINARY QUEST</u></b>\n\n\n\n\n\nThe Onion Kingdom is a rich world full of cruel and unusual kitchens for you to conquer. Take part in an epic journey and tackle an increasingly challenging and bizarre gauntlet of kitchens which will push your skills of co-operation and co-ordination to the very limits. Each level brings a new challenge for you and your team to overcome, whether it's sliding around on a pirate ship, moving between speeding trucks, cooking on an ice floe or serving food in the bowels of a fiery underworld, each level will test the mettle of even the bravest chefs.\n\n\n\n\n\n<b><u>SIMPLE CONTROLS/DEEP CHALLENGE </u></b>\n\n\n\n\n\nOvercooked is so easy to pick up that anyone can join in the fun, but finding a team who can communicate and co-ordinate their actions when the pizza hits the fan, that's when only a well-oiled team of super-chefs will come out on top!\n\n\n\n\n\n<b><u>DIFFERENT WAYS TO PLAY</u></b>\n\n\n\n\n\nWhether indulging in deep fried local co-op or sautéed single player, as you play through the game you'll unlock new levels, new chef characters and even competitive challenge levels which allow teams of two to engage in hard boiled head-to-head in the kitchen.\n\n\n\n\n\nHowever you want to play, if you think you can stand the heat, then get ready to enter the kitchen!\n\n\n\n\n\n<center><img src=""https://items.gog.com/overcooked/logo_the_lost_morsel.png"" width=""350""></center>\nThe Overcooked Lost Morsel content pack continues the chefs’"	GOG						2025-06-02	2025-06-02						False				
Overload - Playable Teaser	Overload - Playable Teaser	Overload Playable Teaser	A playable demo of the game Overload, a new six-degree-of-freedom shooter from the creators of Descent. Version 2.0 is from March 2017.	GOG			Revival Productions, LLC		Revival Productions, LLC	2016-03-08	2016-03-08	Action			Ended		False	"Linux	macOS	Windows"	https://images.gog.com/83b1a71d78371ffecea4cb12c818682ee10c6a477cf8011af2d8aa7dbcaef748_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/42f7b6a8ef5faf3b9cbfd0f0c5ca9d7cefbe0592b6914c1f3559368a94660403_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/42f7b6a8ef5faf3b9cbfd0f0c5ca9d7cefbe0592b6914c1f3559368a94660403_glx_vertical_cover.webp?namespace=gamesdb
Overlord	Overlord	Overlord	"Overlord is an action role-playing video game set in an alternate world, where the player takes the role of a resurrected warrior known as ""The Overlord"" who has control over hordes of gremlin-like creatures known as ""Minions"". The player must defeat seven corrupt ruling heroes in order to reconquer the lands and establish his lordship over its inhabitants. The game features a corruption feature, similar to that of the Fable games, but allowing the player to ""be evil... or really evil"", where certain actions and choices affect different aspects of the story and gameplay. While the Overlord is controlled in a third person perspective, the way minions are controlled brings elements of real-time strategy and upgrades bring those of role-playing games. The game uses dark humour, and is a satirical parody of the traditional fantasy setting and plot"	Steam		70	"4J Studios	Triumph Studios"	"Adventure	Hack and slash/Beat 'em up	Role-playing (RPG)	Strategy"	Codemasters	2007-06-26	2007-06-26	"Action	Comedy	Fantasy	Science fiction"			LowPriority		False	Windows	https://images.gog.com/9322b30f00c3d14b4482f205eb5368d15f1c4ea2e9d1e66dd32e37e3615d94c8_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/594c47e486936d8b4f120613ea60a38f475295693822fc0ddab9b1a666b065b9_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/e10a4f91c5a995d27281ba723b89d5276bd7c39f5f12cb17057662c9c99133a6_glx_vertical_cover.webp?namespace=gamesdb
Overture	Overture	Overture	Overture is an action-adventure roguelike which draws heavy inspiration from hits such as Diablo, Realm of The Mad God, Zelda, and The Binding of Isaac. Explore vast randomly generated dungeons and slay hordes of cunning enemies!	"Humble Bundle	Steam"				"Adventure	Indie	Role-playing (RPG)	Strategy"	Black Shell Media	2015-01-01	2015-01-01	Action	4		HighPriority		False	Windows	https://images.gog.com/897980facaf6df47bb0debdd486d2c6c239c3a340120c9fe97ad693939fc3aef_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/ba7dd961a0bbcd45bef75b969bb2ff28609d5213d69b02f75a7da53989f3c8aa_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/c72afa3f7cecec9668005c1b3bc9a33cdd8dc0b587802ced8e7480937ef62878_glx_vertical_cover.webp?namespace=gamesdb
